stt,Gender,Class,Grade_level,school_type,Sib,fa_job,mo_job,income,exam,Self_evaluation,English,Lh_before_Cov,Lh_in_Cov,Total_Online,LHInstruction,LH_w_Instruction,onl_instr,onl_noninstr,Total_offline,off_instr,off_noninstr,nec_prog,nec_habit,nec_teacher,nec_parent,nec_sib,nec_friend,eff_moti,eff_con,eff_supp,eff_env,eff_obj,eff_resource,eff_friend,kno_med,kno_covid,kno_env,kno_soci,kno_elearn
75,1,5,2,1,2,3,3,1,4,2,3,1,1,0,0,0,0,0,0,0,0,3,4,2,5,2,2,1,1,1,1,1,1,1,4,4,4,4,4
76,3,4,1,3,2,2,2,4,4,2,3,1,1,2,0,4,0,2,2,0,2,4,3,4,4,3,3,5,5,2,5,5,3,3,5,5,5,5,3
77,1,2,1,1,4,3,3,2,1,3,3,1,1,2,1,2,1,1,1,0,1,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,4,4,4
78,2,4,1,1,3,2,2,4,3,4,3,1,2,6,0,12,0,6,6,0,6,4,4,4,5,4,3,5,4,4,5,5,4,3,5,5,4,4,5
79,3,6,2,3,2,2,2,2,6,3,2,2,2,5,3,4,2,3,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
80,2,5,2,1,3,3,4,1,2,2,2,1,2,4,1,6,0,4,3,1,2,3,4,4,3,3,3,4,2,2,2,4,4,2,4,4,4,4,4
82,2,4,1,2,3,1,2,3,5,4,3,1,1,2,0,3,0,2,1,0,1,4,4,4,4,4,4,3,4,4,4,3,4,4,4,5,3,4,5
83,2,5,2,1,4,4,4,1,1,2,2,2,2,6,4,6,2,4,4,2,2,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,3
84,2,1,1,3,3,2,3,3,4,3,3,1,1,30,0,31,0,30,1,0,1,3,4,4,4,4,4,3,3,4,4,4,3,3,5,4,4,4,4
85,1,4,1,1,2,2,2,2,2,2,3,1,2,0,0,0,0,0,0,0,0,5,5,3,4,3,3,5,5,4,5,5,3,3,4,5,3,3,3
86,1,1,1,1,1,1,2,2,1,3,3,1,1,6,3,3,3,3,0,0,0,4,3,4,4,4,4,3,4,4,3,3,2,3,4,4,4,4,4
87,2,4,1,2,4,3,3,2,3,3,2,1,1,1,1,2,1,0,2,0,2,5,4,4,4,4,4,4,4,4,4,5,4,4,5,5,4,4,4
88,2,5,2,1,2,4,3,1,4,2,2,1,1,3,2,4,1,2,3,1,2,5,5,4,3,3,3,4,4,2,2,4,4,4,4,4,4,4,3
89,1,4,1,2,2,2,2,3,6,3,3,1,1,0,0,0,0,0,0,0,0,4,3,4,5,2,4,3,3,5,3,3,4,4,4,4,4,3,3
90,1,5,2,3,2,1,2,3,1,2,2,1,1,3,0,6,0,3,3,0,3,5,4,1,1,1,1,4,4,1,4,4,4,1,3,3,3,3,3
91,1,1,1,3,4,3,1,6,1,2,2,1,1,0,1,1,0,0,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
92,2,5,2,1,2,2,4,3,5,3,3,1,1,1,0,2,0,1,1,0,1,5,5,5,5,5,5,4,4,2,4,3,4,4,5,5,5,5,5
93,2,2,1,1,3,2,2,3,3,4,4,1,3,5,1,8,1,4,4,0,4,4,4,4,4,1,1,5,5,2,5,5,5,3,4,4,4,4,4
94,1,4,1,2,2,2,1,2,5,2,2,1,2,2,0,5,0,2,3,0,3,5,5,4,4,4,4,5,2,4,4,4,3,2,1,1,1,1,1
95,2,6,2,2,2,2,2,5,5,3,4,1,1,0,0,1,0,0,1,0,1,4,4,3,2,2,3,3,3,2,3,2,3,3,4,4,3,2,2
96,1,5,2,1,4,3,4,2,3,3,1,2,1,1,0,2,0,1,1,0,1,4,4,2,3,5,1,2,3,3,4,1,2,3,4,5,4,4,3
97,1,4,1,2,2,2,2,3,5,3,3,3,2,3,1,6,1,2,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4
98,2,5,2,1,1,4,4,1,4,3,2,1,1,1,1,0,1,0,0,0,0,4,4,4,4,4,4,3,3,3,2,3,3,2,3,3,3,3,3
99,1,4,1,2,2,1,2,2,5,2,2,1,2,1,0,7,0,1,6,0,6,4,4,4,4,4,4,4,3,2,4,4,3,2,4,4,4,4,3
100,1,5,2,1,1,2,2,6,1,4,2,1,1,0,0,0,0,0,0,0,0,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
101,2,4,1,2,2,1,2,2,5,3,3,2,3,1,0,10,0,1,9,0,9,5,5,2,4,2,4,4,4,3,2,3,4,4,4,4,4,4,2
102,2,5,2,1,3,3,4,2,4,3,2,1,1,1,0,3,0,1,2,0,2,4,4,4,4,3,4,4,4,4,4,4,3,3,4,4,3,3,3
103,1,5,2,1,4,3,1,2,3,3,2,2,2,5,0,7,0,5,2,0,2,4,4,3,4,3,3,4,4,3,3,4,4,4,4,4,3,3,3
104,2,5,2,1,4,1,4,2,1,3,3,1,1,1,0,1,0,1,0,0,0,4,4,3,3,3,2,3,4,3,4,3,4,3,4,3,3,3,4
106,2,5,2,1,2,1,2,2,5,3,2,2,2,4,1,6,1,3,3,0,3,3,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4
107,1,4,1,1,1,2,2,6,6,3,1,1,1,0,0,0,0,0,0,0,0,3,4,4,3,3,3,4,3,3,4,4,4,4,3,3,3,3,3
108,2,4,1,2,4,1,2,4,5,4,4,2,3,0,0,10,0,0,10,0,10,5,5,2,2,2,2,5,5,2,5,5,5,2,5,5,5,5,2
109,2,4,1,2,2,2,4,4,5,3,3,1,2,4,0,8,0,4,4,0,4,4,1,1,1,4,4,4,1,4,4,4,1,1,1,1,4,4,4
110,1,5,2,1,1,1,4,1,6,3,2,1,1,0,0,0,0,0,0,0,0,4,3,4,4,3,2,3,2,4,4,2,1,4,4,5,4,4,3
111,2,1,1,1,2,1,2,4,6,4,4,2,2,7,0,7,0,7,0,0,0,5,5,5,5,5,3,4,4,4,4,4,4,3,5,5,4,3,3
112,2,6,2,2,1,2,2,3,2,3,3,1,1,0,0,0,0,0,0,0,0,5,5,3,4,3,2,2,2,3,4,3,3,2,3,4,3,4,2
113,1,5,2,1,1,2,2,2,6,2,3,1,1,1,1,2,0,1,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4
114,2,4,1,2,2,1,2,2,5,3,3,1,1,1,0,3,0,1,2,0,2,5,5,4,4,3,4,4,5,4,5,3,5,4,5,5,4,4,4
115,1,5,2,1,1,1,2,2,2,2,2,2,1,3,0,6,0,3,3,0,3,4,4,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4
116,2,6,2,2,2,1,1,2,2,3,2,1,1,0,0,0,0,0,0,0,0,1,1,5,5,5,3,1,2,3,3,4,4,4,4,3,3,3,3
117,2,4,1,2,2,2,2,6,5,3,3,1,1,2,1,4,0,2,3,1,2,4,4,4,4,2,3,4,4,4,4,4,4,4,4,4,3,3,4
118,1,4,1,2,2,2,4,2,5,3,3,1,2,3,0,6,0,3,3,0,3,4,5,4,5,2,3,4,4,4,5,5,5,5,5,5,4,3,2
119,1,3,1,1,2,2,2,3,1,3,3,2,3,6,2,6,2,4,2,0,2,3,5,3,5,5,3,4,5,5,5,4,4,1,5,5,1,1,5
120,1,1,1,3,4,3,2,3,6,3,2,1,1,2,1,1,1,1,0,0,0,3,3,5,4,3,2,3,4,4,4,3,2,3,5,3,3,3,3
121,1,5,2,1,4,1,1,3,1,3,2,1,2,0,0,5,0,0,5,0,5,4,5,3,5,3,4,5,3,4,3,5,4,5,4,4,2,2,3
122,1,4,1,2,1,1,4,2,5,4,4,2,1,2,0,4,0,2,2,0,2,5,5,5,5,5,5,4,4,4,4,4,4,4,5,5,2,2,2
123,2,4,1,2,3,2,2,3,5,3,3,1,2,0,0,5,0,0,5,0,5,4,4,4,4,4,3,3,4,3,4,3,4,4,4,4,3,3,3
124,1,1,1,3,2,1,2,2,2,3,2,2,2,4,1,6,1,3,3,0,3,5,5,4,4,3,3,5,5,5,5,5,5,3,5,4,5,5,3
125,2,4,1,2,2,1,2,4,5,3,4,1,2,2,2,2,1,1,2,1,1,4,4,5,5,3,3,3,4,4,4,3,3,3,4,4,3,3,3
126,2,5,2,3,3,2,2,2,5,2,1,1,1,2,1,2,1,1,1,0,1,3,3,5,5,3,3,3,2,2,2,2,2,2,4,5,5,5,3
127,2,6,2,2,2,1,2,3,5,3,4,1,3,2,1,8,0,2,7,1,6,4,3,3,2,2,3,3,2,2,4,4,4,4,3,3,4,4,4
128,2,4,1,2,2,1,1,3,3,3,3,2,2,3,0,7,0,3,4,0,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,3
129,2,1,1,3,4,2,2,5,5,2,2,2,1,4,4,8,1,3,8,3,5,4,4,4,4,3,4,4,3,4,4,4,4,5,1,1,1,1,2
130,3,4,1,3,3,1,2,1,5,2,2,1,2,6,0,12,0,6,6,0,6,4,4,3,3,3,3,2,2,4,3,3,4,4,3,3,3,3,3
131,1,1,1,2,2,1,2,2,1,3,3,1,1,1,2,1,0,1,2,2,0,5,5,4,4,4,4,4,3,5,4,3,5,2,4,5,4,2,2
132,2,5,2,3,4,1,1,3,5,2,2,1,1,2,2,0,2,0,0,0,0,3,3,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4
133,1,5,2,1,2,3,3,1,6,2,3,1,1,3,0,6,0,3,3,0,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
134,2,5,2,1,2,3,3,3,2,3,2,1,1,1,0,1,0,1,0,0,0,3,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4
135,2,5,2,1,2,1,4,2,4,2,2,1,2,3,3,1,3,0,1,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5
136,1,1,1,3,2,1,2,6,6,2,4,1,2,2,1,1,1,1,0,0,0,4,5,5,4,3,3,4,4,4,5,5,4,3,4,3,5,5,4
137,2,4,1,2,1,1,2,6,5,4,4,2,1,0,0,3,0,0,3,0,3,5,5,4,4,2,2,4,5,3,5,5,5,2,5,5,3,3,5
138,2,4,1,2,2,2,2,3,2,3,4,1,2,5,0,10,0,5,5,0,5,4,4,2,2,2,2,2,2,2,3,3,4,3,4,4,2,2,2
139,1,5,2,1,2,3,4,1,5,2,2,3,3,6,8,6,4,2,8,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3
140,1,1,1,3,2,1,2,3,1,3,3,3,2,4,3,5,3,1,4,0,4,4,3,4,4,3,3,4,4,4,5,4,3,5,4,4,5,5,4
141,2,5,2,1,2,1,3,1,1,3,1,1,2,4,0,8,0,4,4,0,4,4,4,3,3,3,3,3,3,4,4,3,4,2,3,3,3,3,3
142,1,2,1,3,2,3,2,5,6,2,3,1,1,2,2,2,1,1,2,1,1,3,3,5,5,3,1,2,2,4,3,1,3,1,1,1,1,1,1
143,1,1,1,1,2,2,2,4,6,4,3,1,1,0,1,1,0,0,2,1,1,5,4,4,4,4,4,3,3,4,4,4,3,3,4,4,3,3,4
144,2,5,2,1,2,3,3,1,6,3,2,1,2,0,0,3,0,0,3,0,3,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
145,2,5,2,1,4,3,3,1,5,3,2,1,1,2,1,2,1,1,1,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
146,2,4,1,2,2,2,2,1,5,3,3,1,1,1,0,2,0,1,1,0,1,4,3,3,3,3,3,3,4,3,4,3,3,2,4,4,3,3,3
147,2,2,1,3,3,1,2,5,1,4,4,2,2,5,0,7,0,5,2,0,2,5,5,4,4,1,3,4,4,1,4,4,4,1,1,1,1,1,1
148,2,5,2,3,2,1,2,2,6,2,3,1,1,3,1,5,1,2,3,0,3,4,4,4,4,2,1,3,2,3,4,3,4,3,4,4,4,4,3
150,2,1,1,3,2,1,2,4,1,3,3,1,1,2,0,3,0,2,1,0,1,4,4,4,4,4,4,3,4,2,4,4,3,3,4,3,3,4,4
151,2,5,2,2,3,1,2,6,3,3,2,1,1,0,0,1,0,0,1,0,1,4,3,2,2,2,2,4,4,2,3,4,4,2,4,4,3,4,3
152,1,1,1,3,4,2,2,1,3,3,3,1,2,3,3,6,0,3,6,3,3,3,4,5,5,5,5,3,4,2,3,3,2,4,5,5,5,5,5
153,2,1,1,3,4,2,2,3,6,2,2,1,1,2,2,2,1,1,2,1,1,2,3,3,3,3,2,2,2,3,2,4,4,4,3,3,3,4,3
154,1,1,1,3,2,1,2,2,3,3,2,2,1,4,4,4,2,2,4,2,2,4,3,5,5,5,4,4,4,5,4,3,3,5,4,4,4,4,4
155,1,1,1,3,1,2,2,5,5,4,3,1,2,4,2,4,2,2,2,0,2,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,3,3,4
156,1,1,1,3,2,4,4,2,6,4,3,1,1,2,1,2,1,1,1,0,1,5,4,5,5,4,5,4,3,4,5,3,5,2,4,2,4,5,5
157,2,6,2,3,3,1,3,4,1,3,2,1,1,0,0,0,0,0,0,0,0,1,3,4,4,4,4,2,4,4,3,3,3,3,4,4,3,3,3
158,2,5,2,1,4,1,4,1,6,2,1,2,2,3,3,4,1,2,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159,2,4,1,2,2,1,2,3,6,2,3,1,1,2,0,3,0,2,1,0,1,3,3,4,4,4,4,3,4,3,3,3,3,2,4,4,3,3,2
160,1,1,1,3,2,2,2,2,2,3,4,1,2,4,1,5,1,3,2,0,2,4,3,4,5,3,3,3,4,5,3,2,5,4,4,5,4,4,5
161,1,1,1,3,2,2,2,3,2,2,4,2,2,6,3,10,1,5,7,2,5,3,4,1,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5
162,3,5,2,1,2,1,3,6,5,2,2,1,1,0,0,0,0,0,0,0,0,4,3,4,4,3,2,2,2,4,3,3,4,4,3,4,4,4,3
163,2,1,1,1,4,1,1,3,1,3,2,1,1,8,7,7,4,4,6,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4
164,1,4,1,2,2,2,2,3,2,3,3,1,2,3,2,3,0,3,2,2,0,4,4,5,5,5,3,3,4,5,5,4,4,5,4,5,4,3,4
165,2,4,1,2,1,2,2,3,5,3,3,1,2,1,1,4,1,0,4,0,4,5,5,4,4,4,4,3,4,3,5,4,5,4,5,5,4,4,3
166,2,3,1,1,2,2,2,4,5,3,3,1,1,0,0,0,0,0,0,0,0,4,4,4,4,4,4,3,3,3,2,2,2,4,4,4,3,3,2
167,2,5,2,1,2,4,3,2,5,2,1,1,1,0,1,2,0,0,3,1,2,1,1,3,1,2,3,1,1,1,3,1,2,2,1,1,1,1,3
168,1,4,1,2,2,2,2,3,5,3,4,1,1,0,0,0,0,0,0,0,0,5,5,4,5,3,1,4,2,4,3,4,4,3,5,5,5,3,3
169,2,4,1,2,2,2,2,3,5,3,3,2,3,1,3,5,1,0,7,2,5,4,4,4,4,4,4,3,3,3,4,3,4,4,4,4,3,3,4
170,2,5,2,3,2,4,2,2,5,2,2,1,1,2,1,1,1,1,0,0,0,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3
171,2,1,1,2,2,1,1,3,1,3,3,2,3,3,0,8,0,3,5,0,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4
172,1,2,1,3,2,4,2,2,6,2,1,1,2,4,7,6,0,4,9,7,2,4,4,3,3,3,3,4,2,2,1,1,1,3,4,4,4,4,4
173,1,4,1,1,2,3,4,1,2,2,3,2,2,2,2,0,2,0,0,0,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
174,2,1,1,3,4,2,2,2,6,3,2,2,1,5,3,8,1,4,6,2,4,5,4,4,4,3,3,4,3,3,4,3,4,4,3,3,3,3,4
175,1,2,1,3,2,2,2,3,5,4,4,1,1,3,2,2,2,1,1,0,1,4,5,5,5,3,4,5,5,4,5,4,5,4,5,5,4,5,5
176,1,2,1,3,2,2,2,6,6,3,2,1,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1
177,2,2,1,1,2,2,2,2,5,3,3,1,2,2,1,5,1,1,4,0,4,5,5,5,5,5,4,2,4,5,5,4,4,4,5,5,4,4,4
178,2,5,2,3,4,2,2,5,6,3,3,3,3,10,10,10,5,5,10,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4
179,2,1,1,3,4,2,2,2,5,3,2,2,1,3,3,6,1,2,6,2,4,5,4,4,3,3,3,4,3,4,4,3,4,4,3,3,3,3,4
180,2,4,1,1,4,3,3,1,5,3,1,1,3,8,0,16,0,8,8,0,8,4,4,4,4,3,2,4,4,2,2,4,4,4,4,4,4,4,3
181,2,2,1,3,2,1,2,4,6,3,2,1,1,1,0,2,0,1,1,0,1,4,4,4,4,4,2,2,2,2,2,3,3,4,4,4,4,4,4
182,2,4,1,1,4,4,2,3,5,3,3,1,1,0,0,0,0,0,0,0,0,4,3,4,4,3,4,3,2,3,4,4,4,4,4,4,4,4,4
183,2,4,1,3,3,2,2,4,1,2,2,2,1,2,0,4,0,2,2,0,2,4,4,4,4,4,4,1,1,2,4,3,4,4,5,5,5,5,4
184,1,5,2,2,2,2,3,5,5,3,4,1,1,0,0,2,0,0,2,0,2,5,3,3,3,3,3,4,3,2,5,5,5,5,3,3,3,3,3
185,3,5,2,3,4,1,2,2,5,3,3,1,1,1,0,2,0,1,1,0,1,4,4,4,4,4,4,3,3,4,1,3,3,3,4,5,4,4,4
186,1,1,1,3,4,2,2,6,4,3,3,1,1,21,0,42,0,21,21,0,21,5,5,5,5,5,5,5,4,1,5,5,4,2,3,5,4,4,5
187,1,5,2,1,4,2,2,5,5,3,3,2,1,2,0,4,0,2,2,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
188,2,5,2,1,2,4,4,1,5,2,2,3,1,2,0,4,0,2,2,0,2,4,4,3,4,4,3,4,3,3,4,3,3,3,4,4,3,3,3
189,1,4,1,2,2,2,2,6,4,3,3,1,1,2,2,2,1,1,2,1,1,4,4,3,3,2,4,3,3,4,3,3,4,4,4,4,4,3,2
190,2,5,2,2,2,2,2,2,5,4,3,1,1,1,0,1,0,1,0,0,0,2,4,2,2,2,2,4,2,2,3,3,4,3,4,3,2,3,4
191,1,2,1,3,2,2,2,3,1,4,4,1,1,1,2,1,1,0,2,1,1,5,5,5,4,3,2,3,3,4,5,3,4,3,4,4,3,3,2
192,1,6,2,2,2,2,2,6,6,4,4,2,3,2,0,8,0,2,6,0,6,5,5,4,4,4,4,5,5,4,5,5,4,4,4,4,5,5,4
193,2,6,2,2,2,2,4,4,4,3,3,1,3,5,3,5,3,2,3,0,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
194,1,4,1,2,2,2,3,6,6,3,4,1,1,0,0,1,0,0,1,0,1,4,4,4,3,2,2,3,4,1,3,3,3,4,4,4,3,3,3
195,1,5,2,2,2,1,2,3,1,1,2,1,1,2,0,4,0,2,2,0,2,3,3,3,5,3,3,1,1,3,4,1,3,4,4,4,4,4,4
196,1,5,2,2,2,3,2,4,1,3,2,1,1,2,0,3,0,2,1,0,1,3,4,3,3,3,3,3,4,4,4,3,4,4,4,4,4,3,3
197,2,5,2,2,3,2,2,6,5,2,3,1,1,0,0,0,0,0,0,0,0,3,3,4,4,4,2,3,2,4,3,3,4,2,4,4,4,2,2
198,2,6,2,1,4,4,2,2,1,3,1,1,1,1,0,3,0,1,2,0,2,4,4,3,2,2,2,3,4,2,2,4,4,1,4,4,3,3,2
199,1,4,1,2,4,1,2,3,6,3,4,1,1,3,0,6,0,3,3,0,3,4,4,4,4,3,3,3,3,3,3,3,3,3,4,4,4,4,3
200,1,5,2,2,4,2,2,5,3,3,3,1,1,1,0,2,0,1,1,0,1,4,3,3,3,3,3,4,3,4,4,4,5,2,3,4,3,3,4
201,1,5,2,2,2,2,2,4,2,1,2,1,1,0,0,0,0,0,0,0,0,1,4,2,4,2,2,2,3,4,5,2,5,1,5,5,3,3,2
202,2,6,2,2,2,1,2,4,2,3,2,1,3,2,0,8,0,2,6,0,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4
203,2,6,2,2,3,4,2,5,6,3,3,1,1,2,0,4,0,2,2,0,2,3,4,3,3,3,3,3,4,3,4,4,3,3,3,3,3,3,3
204,2,5,2,1,2,1,2,2,6,3,3,1,1,2,2,2,1,1,2,1,1,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,4,4,4
205,1,2,1,3,4,3,2,5,5,3,2,2,3,5,4,5,2,3,4,2,2,4,4,4,4,4,4,2,3,3,1,4,4,4,5,5,5,5,5
206,2,5,2,1,3,4,4,2,5,3,3,1,1,3,3,4,1,2,4,2,2,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
207,2,4,1,2,4,2,2,2,5,4,3,1,1,1,0,2,0,1,1,0,1,5,5,3,3,3,3,5,5,2,4,5,4,2,5,5,3,3,3
208,2,5,2,2,2,1,2,5,2,2,2,2,1,2,0,5,0,2,3,0,3,2,2,4,4,3,2,2,2,4,3,3,4,4,2,2,4,4,4
209,1,2,1,3,2,1,2,5,6,4,3,2,3,5,5,3,4,1,3,1,2,5,5,5,5,4,5,4,5,4,5,5,5,5,4,5,5,5,4
210,1,5,2,2,2,2,1,3,2,2,2,2,3,12,0,24,0,12,12,0,12,4,4,4,4,3,3,3,3,2,4,3,4,4,4,4,4,4,3
212,1,6,2,2,2,4,2,2,6,2,3,2,1,0,0,0,0,0,0,0,0,4,4,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,3
213,1,1,1,1,2,1,1,4,1,4,3,1,3,4,5,3,3,1,4,2,2,5,5,4,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5
214,2,6,2,2,2,2,2,2,2,3,3,1,2,2,0,6,0,2,4,0,4,4,4,4,4,4,4,3,2,4,4,3,4,3,4,4,3,3,3
215,3,5,2,1,2,3,4,1,6,2,2,1,1,2,2,3,1,1,3,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
216,2,4,1,1,1,2,4,3,5,4,4,2,3,2,4,4,2,0,6,2,4,5,5,3,5,3,3,5,5,5,5,5,5,4,5,5,5,5,5
217,2,6,2,2,2,2,2,6,2,3,3,2,2,7,1,12,1,6,6,0,6,1,1,1,1,2,2,4,4,4,4,4,4,2,4,4,2,2,4
218,2,5,2,2,4,3,3,4,2,3,3,2,3,9,0,18,0,9,9,0,9,4,3,1,1,1,1,4,3,2,3,3,3,2,2,3,2,2,2
219,2,2,1,1,1,2,2,1,5,4,4,2,3,3,0,9,0,3,6,0,6,5,5,1,5,1,1,3,5,1,5,5,5,1,3,5,5,5,5
220,2,5,2,1,3,4,4,4,5,3,3,1,2,3,1,3,1,2,1,0,1,4,4,4,3,3,4,4,4,2,4,4,5,5,4,4,3,3,4
221,1,2,1,1,1,1,2,3,5,3,4,3,3,20,20,20,10,10,20,10,10,5,5,5,5,4,5,5,5,5,5,4,5,5,3,5,5,5,5
222,2,5,2,1,4,2,2,2,1,3,1,1,1,0,0,2,0,0,2,0,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,2
223,2,2,1,3,2,1,2,2,5,3,3,1,1,0,1,1,0,0,2,1,1,4,4,4,4,4,2,4,3,4,4,4,4,3,4,4,3,3,3
224,1,5,2,2,2,1,3,4,2,3,3,1,1,0,0,1,0,0,1,0,1,4,3,4,3,3,3,2,2,2,4,2,4,5,5,5,5,5,5
225,2,5,2,2,2,1,2,2,1,3,2,1,2,1,0,4,0,1,3,0,3,5,5,4,3,3,3,3,4,2,4,3,4,3,5,4,3,3,4
226,1,3,1,4,1,2,1,3,5,2,2,2,3,8,3,5,3,5,0,0,0,4,4,4,4,3,3,4,3,4,4,4,4,3,4,4,4,4,4
227,1,6,2,2,1,1,2,3,3,3,4,2,2,3,3,8,0,3,8,3,5,4,4,3,5,1,1,4,4,2,3,3,3,1,5,5,5,5,1
228,2,5,2,1,2,2,1,3,2,3,3,1,2,3,3,2,1,2,2,2,0,3,4,1,1,1,1,3,4,4,3,4,4,4,4,4,4,4,4
229,1,5,2,2,2,1,2,6,5,2,2,2,3,9,11,7,7,2,9,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
230,2,1,1,3,2,1,2,4,3,3,3,1,2,4,2,4,1,3,2,1,1,5,5,4,4,4,4,4,4,5,4,3,4,4,3,3,2,2,4
231,1,1,1,3,2,1,2,2,1,2,2,1,2,5,3,2,3,2,0,0,0,4,4,4,3,3,3,4,4,4,3,3,3,2,3,4,3,3,2
232,1,1,1,1,2,1,2,2,1,3,2,2,2,4,5,2,3,1,3,2,1,3,4,5,5,4,4,5,3,4,4,5,5,2,3,5,5,5,2
233,2,6,2,2,2,2,2,4,5,3,3,1,2,2,2,3,2,0,3,0,3,5,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3
234,2,2,1,3,2,2,2,4,3,3,3,1,2,5,0,7,0,5,2,0,2,4,5,3,3,3,3,4,4,3,5,5,5,5,5,5,5,5,5
235,2,1,1,1,2,2,1,5,5,3,3,1,1,3,3,2,2,1,2,1,1,4,4,4,3,3,3,3,3,4,4,4,3,3,4,4,3,3,4
236,1,5,2,2,2,1,2,2,2,2,1,1,1,0,0,1,0,0,1,0,1,5,5,4,4,4,4,4,3,2,4,3,3,3,4,4,4,4,3
237,1,1,1,2,2,1,1,2,1,3,3,1,2,3,2,2,2,1,1,0,1,5,5,3,4,1,1,4,4,5,5,4,5,3,4,4,3,3,4
238,2,5,2,2,3,1,2,6,2,3,3,1,2,3,1,6,1,2,4,0,4,4,4,3,3,3,4,3,4,3,4,4,4,3,4,4,4,4,4
239,2,1,1,3,4,2,2,3,6,3,3,2,3,7,0,9,0,7,2,0,2,5,5,5,4,3,2,4,3,4,5,5,4,3,4,4,3,3,5
240,1,1,1,3,4,1,1,2,1,2,3,1,1,1,1,0,1,0,0,0,0,4,3,3,5,3,3,3,3,3,3,3,3,3,5,5,5,5,3
241,2,5,2,1,2,3,4,1,6,3,4,1,1,2,0,4,0,2,2,0,2,4,4,3,4,4,4,5,5,3,4,5,5,1,1,1,1,1,1
242,1,1,1,1,4,2,3,2,1,3,2,1,1,0,2,1,0,0,3,2,1,5,5,5,5,2,1,1,1,5,1,1,1,1,1,4,4,1,1
243,2,4,1,1,2,3,3,6,5,3,1,1,1,10,1,9,1,9,0,0,0,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
244,2,4,1,1,2,3,2,2,4,3,2,1,1,0,1,1,0,0,2,1,1,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4
245,1,4,1,1,1,3,2,1,6,2,2,1,1,0,2,0,0,0,2,2,0,3,3,4,4,3,2,2,2,2,3,3,3,4,4,4,4,4,3
246,1,6,2,1,1,1,2,4,5,4,3,3,3,10,2,18,2,8,10,0,10,4,4,3,3,3,4,4,4,4,4,3,4,4,3,4,4,3,4
247,2,4,1,1,2,4,4,2,5,3,3,1,1,0,0,1,0,0,1,0,1,4,3,3,3,3,3,4,3,4,4,4,4,3,4,4,4,4,4
248,2,4,1,1,2,3,3,2,4,3,1,1,1,0,0,0,0,0,0,0,0,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3
249,2,6,2,1,4,3,3,1,5,2,2,1,1,0,1,2,0,0,3,1,2,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,3,3,3
250,2,6,2,1,2,3,3,1,5,2,2,1,1,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,3,4,3,3,2,2,5,4,4,4,4
