stt,Gender,Class,Grade_level,school_type,Sib,fa_job,mo_job,income,exam,Self_evaluation,English,Lh_before_Cov,Lh_in_Cov,Total_Online,LHInstruction,LH_w_Instruction,onl_instr,onl_noninstr,Total_offline,off_instr,off_noninstr,nec_prog,nec_habit,nec_teacher,nec_parent,nec_sib,nec_friend,eff_moti,eff_con,eff_supp,eff_env,eff_obj,eff_resource,eff_friend,kno_med,kno_covid,kno_env,kno_soci,kno_elearn
375,1,4,1,1,2,1,2,4,2,4,2,1,2,4,2,3,2,2,1,0,1,4,5,1,3,1,1,4,4,4,3,4,5,1,4,4,2,2,5
376,2,4,1,2,2,1,2,3,5,4,3,2,2,4,0,8,0,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
377,1,2,1,3,2,1,2,2,6,3,3,1,2,0,0,0,0,0,0,0,0,4,3,3,4,3,4,4,4,3,3,4,4,3,3,4,4,3,3
378,1,1,1,4,2,1,2,2,5,2,2,1,1,0,2,1,0,0,3,2,1,4,4,4,4,4,4,2,2,5,3,3,3,2,5,5,5,3,1
379,1,2,1,3,2,1,2,5,1,3,3,1,2,4,2,2,2,2,0,0,0,4,4,4,4,4,4,4,3,4,3,3,4,3,4,4,4,4,4
380,1,1,1,4,2,1,1,2,6,1,2,1,1,0,5,0,0,0,5,5,0,4,3,4,4,4,3,3,3,4,4,3,3,2,4,4,4,4,3
381,1,2,1,3,1,1,2,3,1,2,2,1,1,1,0,1,0,1,0,0,0,5,5,5,4,1,3,1,4,1,1,1,1,1,5,5,5,5,5
382,1,1,1,4,4,3,3,5,5,2,1,1,1,0,0,0,0,0,0,0,0,4,4,4,4,4,3,4,3,5,2,5,3,5,4,5,5,5,5
383,1,1,1,3,4,2,2,4,1,3,2,1,1,1,0,2,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
384,2,6,2,1,2,3,3,1,5,2,2,1,2,4,0,8,0,4,4,0,4,5,4,4,3,3,3,4,4,2,4,2,3,3,4,4,3,3,3
385,1,1,1,3,4,1,2,5,3,3,3,2,2,7,6,8,3,4,7,3,4,4,4,4,3,4,2,4,3,4,4,4,3,2,5,5,3,3,4
386,1,2,1,3,2,2,3,4,6,3,3,1,2,3,3,5,1,2,5,2,3,4,4,5,5,1,4,4,4,4,5,5,5,4,4,5,4,4,5
387,2,2,1,3,2,2,2,6,1,4,4,3,3,6,0,9,0,6,3,0,3,4,5,3,1,1,1,5,5,5,5,5,5,5,4,4,3,3,4
388,1,5,2,1,2,3,2,2,2,3,3,1,3,0,2,6,0,0,8,2,6,4,4,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,1
389,1,1,1,3,2,1,2,4,5,4,3,1,2,5,3,3,3,2,1,0,1,4,5,5,5,3,1,4,3,5,5,3,5,3,2,2,4,4,5
